url,file,volume,issue,year,week,date_start,date_end,language
https://www.epid.gov.lk/storage/post/pdfs/en_66433b57bd1c3_Vol_51_no_16-english.pdf,en_66433b57bd1c3_Vol_51_no_16-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_664339d220499_Vol_51_no_15-english.pdf,en_664339d220499_Vol_51_no_15-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6643392246c49_Vol_51_no_14-english.pdf,en_6643392246c49_Vol_51_no_14-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_661ea55c0d8b5_Vol_51_no_13-english.pdf,en_661ea55c0d8b5_Vol_51_no_13-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_661ea4cf29914_Vol_51_no_12-english.pdf,en_661ea4cf29914_Vol_51_no_12-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_660e6d977a71b_Vol_51_no_11-english.pdf,en_660e6d977a71b_Vol_51_no_11-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6602904aa6a75_Vol_51_no_10-english.pdf,en_6602904aa6a75_Vol_51_no_10-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc47cc869e2_Vol_51_no_09-english.pdf,en_65fc47cc869e2_Vol_51_no_09-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc4e4076150_Vol_51_no_08-english.pdf,en_65fc4e4076150_Vol_51_no_08-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc547b1177c_Vol_51_no_07-english.pdf,en_65fc547b1177c_Vol_51_no_07-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc60581a048_Vol_51_no_06-english.pdf,en_65fc60581a048_Vol_51_no_06-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc628912f33_Vol_51_no_05-english.pdf,en_65fc628912f33_Vol_51_no_05-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc6756ec7d6_Vol_51_no_04-english.pdf,en_65fc6756ec7d6_Vol_51_no_04-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc71dbe22ce_Vol_51_no_03-english.pdf,en_65fc71dbe22ce_Vol_51_no_03-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65fc755050a91_Vol_51_no_02-english.pdf,en_65fc755050a91_Vol_51_no_02-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65b8d3689b762_Vol_51_no_01-english.pdf,en_65b8d3689b762_Vol_51_no_01-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_659e7c802c6b3_Vol_50_no_52-english.pdf,en_659e7c802c6b3_Vol_50_no_52-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65938b8caa4b2_Vol_50_no_51-english.pdf,en_65938b8caa4b2_Vol_50_no_51-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_658bf46e36e50_Vol_50_no_50-english.pdf,en_658bf46e36e50_Vol_50_no_50-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6585409665879_Vol_50_no_49-english.pdf,en_6585409665879_Vol_50_no_49-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_65851ecfb2759_Vol_50_no_48-english.pdf,en_65851ecfb2759_Vol_50_no_48-english.pdf,,,,,,,English
